date,event_type,events,users_chunk_sum,revenue
2019-12-25,cart,127613,61459,0.0
2019-12-25,purchase,44949,32363,13153149.51
2019-12-25,view,2324965,430564,0.0
2019-12-26,cart,124010,59407,0.0
2019-12-26,purchase,44154,31936,13122116.74
2019-12-26,view,2242417,420475,0.0
2019-12-27,cart,121038,57035,0.0
2019-12-27,purchase,43081,30777,12659247.12
2019-12-27,view,2060169,378281,0.0
2019-12-28,cart,127788,59643,0.0
2019-12-28,purchase,45287,32765,13176332.83
2019-12-28,view,2090167,328790,0.0
2019-12-29,cart,148693,68811,0.0
2019-12-29,purchase,49597,36500,14346608.07
2019-12-29,view,2475358,426621,0.0
2019-12-30,cart,148661,68906,0.0
2019-12-30,purchase,50729,37282,15060489.879999999
2019-12-30,view,2296264,475551,0.0
2019-12-31,cart,119083,53065,0.0
2019-12-31,purchase,38233,27752,11698421.24
2019-12-31,view,1604276,367595,0.0
